,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
0,0.6968225836753845,0.7424576282501221,0.6678475737571716,0.7428776025772095,0.8131650686264038,0.7098293900489807,0.8233127593994141,0.6785230040550232,0.7196882367134094,0.7019938826560974,0.710512638092041,0.7919663190841675,0.7124087810516357,0.6752970218658447,0.6908397078514099,0.6900918483734131,0.7261854410171509,0.6440120935440063,0.71160888671875,0.6926760673522949,0.7061108350753784,0.8740627765655518,0.6673282384872437,0.6829708814620972,0.7298387289047241,0.6703664660453796,0.7107058763504028,0.6789987087249756,0.7703499794006348,0.7420967817306519,0.6738611459732056,0.6632171869277954,0.7112328410148621,0.6893364787101746,0.6784728765487671,0.6919274926185608,0.7200764417648315,0.6882607936859131,0.687603771686554,0.7051471471786499,0.6378572583198547,0.7284225225448608,0.7649015784263611,0.7162052392959595,0.7085512280464172,0.7082288861274719,0.7373331189155579,0.7561582326889038,0.7008952498435974,0.6858081221580505,0.7677569389343262,0.7013939023017883,0.7318820357322693,0.6866864562034607,0.6977047920227051,0.7674813270568848,0.6829018592834473,0.6950724124908447,0.6821240186691284,0.7842088937759399,0.6773848533630371,0.7007286548614502,0.6960968971252441,0.6560168266296387,0.7527511119842529,0.7810317277908325,0.6912268996238708,0.6896589398384094,0.728354811668396,0.7108257412910461,0.9084488153457642,0.7132165431976318,0.7557508945465088,0.7013900876045227,0.7541321516036987,0.7519680857658386,0.8208285570144653,0.6642778515815735,0.6885268688201904,0.7973802089691162,0.697836697101593,0.8489550948143005,0.7083740234375,0.6843065619468689,0.6652501821517944,0.7197508215904236,0.727644145488739,0.8499006032943726,0.7066748738288879,0.661369264125824,0.7577492594718933,0.7682241797447205,0.6929065585136414,0.6482223272323608,0.8751610517501831,0.659624457359314,0.6974035501480103,0.7142350673675537,0.7304311394691467,0.7842434644699097,0.8210777044296265,0.6619694232940674,0.7083486318588257,0.6858912110328674,0.9446053504943848,0.7013592720031738,0.723763108253479,0.6686943173408508,0.699392557144165
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.34688663482666,0.9781580567359924,0.7803708910942078,1.630260944366455,0.8753774166107178,2.2642152309417725,0.8486053943634033,0.9263358116149902,1.1251604557037354,1.0194183588027954,0.8987799286842346,1.0008842945098877,1.9039901494979856,0.879096508026123,1.1469595432281494,1.7963380813598633,0.7985020279884338,0.8682720065116882,1.8630917072296145,0.94136381149292,1.3523412942886353,1.3689721822738647,0.8586686849594116,0.893035352230072,0.895646333694458,1.2369415760040283,1.012317776679993,0.6763678789138794,1.274281024932861,1.5163285732269287,0.9103319048881532,0.8016382455825806,0.9914085268974304,0.9944817423820496,0.7159708142280579,0.7428819537162781,0.8605033159255981,1.071213960647583,0.8809571266174316,1.0345163345336914,1.6306489706039429,1.669468879699707,0.9395763874053956,1.123266339302063,1.0570554733276367,1.4908480644226074,0.9113701581954956,1.009937047958374,1.3296141624450684,0.7380425930023193,0.8166040778160095,1.0245665311813354,1.0921612977981567,0.8911783695220947,0.7774807214736938,1.454520583152771,0.8334459662437439,1.0614186525344849,0.8902252316474915,1.4837760925292969,0.7209174633026123,0.8663338422775269,0.7714763879776001,1.192627191543579,1.160355567932129,1.664940357208252,0.863112211227417,0.6792165637016296,1.2269518375396729,0.7701225876808167,0.735541820526123,0.9149122834205629,1.607885241508484,1.103255033493042,1.2190089225769043,1.0035433769226074,0.9916024804115297,0.7101427316665649,0.9052141308784484,0.8855931758880615,0.7854491472244263,1.3426871299743652,0.9565922617912292,1.2740546464920044,1.7640771865844729,1.146040439605713,1.249008059501648,1.0458219051361084,1.023158073425293,2.0568594932556152,1.6343226432800293,0.8049142360687256,1.0074082612991333,0.6133294701576233,2.056279420852661,0.7732135057449341,1.706162452697754,1.177324891090393,0.9912312030792236,1.220729947090149,1.531221866607666,0.912428379058838,2.1175570487976074,0.7910575866699219,0.6982097029685974,0.9369014501571656,0.7492440938949585,0.7609531879425049,0.7970699071884155
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
