,1
0,0.52
1,0.98
2,0.98
3,0.975
4,0.98
5,0.985
6,0.98
7,0.98
8,0.98
9,0.975
10,0.975
11,0.975
12,0.975
13,0.975
14,0.975
15,0.975
16,0.975
17,0.975
18,0.975
19,0.975
20,0.975
21,0.98
22,0.98
23,0.98
24,0.98
25,0.98
26,0.98
27,0.98
28,0.98
29,0.98
30,0.98
31,0.98
32,0.98
33,0.98
34,0.98
35,0.98
36,0.98
37,0.98
38,0.98
39,0.98
40,0.98
41,0.98
42,0.98
43,0.98
44,0.98
45,0.98
46,0.98
47,0.985
48,0.985
49,0.985
50,0.985
51,0.985
52,0.98
53,0.985
54,0.985
55,0.98
56,0.98
57,0.98
58,0.98
59,0.98
60,0.98
61,0.98
62,0.98
63,0.98
64,0.98
65,0.98
66,0.98
67,0.98
68,0.98
69,0.98
70,0.98
71,0.98
72,0.98
73,0.98
74,0.98
75,0.98
76,0.98
77,0.98
78,0.98
79,0.98
80,0.98
