,1
0,0.35
1,0.3
2,0.30833333333333335
3,0.25833333333333336
4,0.25833333333333336
5,0.23333333333333334
6,0.23333333333333334
7,0.24166666666666667
8,0.24166666666666667
9,0.25833333333333336
10,0.2833333333333333
11,0.3
12,0.3333333333333333
13,0.35833333333333334
14,0.36666666666666664
15,0.375
16,0.39166666666666666
17,0.4083333333333333
18,0.425
19,0.425
20,0.45
21,0.4583333333333333
22,0.48333333333333334
23,0.49166666666666664
24,0.49166666666666664
25,0.49166666666666664
26,0.5
27,0.5
28,0.5
29,0.5
30,0.5
31,0.5
32,0.5
33,0.5
34,0.5
35,0.5
36,0.5
37,0.5
38,0.5
39,0.5
40,0.5
41,0.5
42,0.5
43,0.5
44,0.5
45,0.5
46,0.5
47,0.5
48,0.5
49,0.5
50,0.5
51,0.5
52,0.5
53,0.5
54,0.5
55,0.5
56,0.5
57,0.5
58,0.5
59,0.5
60,0.5
61,0.5
62,0.5
63,0.5
64,0.5
65,0.5
66,0.5
67,0.5
68,0.5
69,0.5
70,0.5
71,0.5
72,0.5
73,0.5
74,0.5
75,0.5
76,0.5
77,0.5
78,0.5
79,0.5
80,0.5
81,0.5
82,0.5
83,0.5
84,0.5
85,0.5
86,0.5
87,0.5
88,0.5
89,0.5
90,0.5
91,0.5
92,0.5
93,0.5
94,0.5
95,0.5
96,0.5
97,0.5
98,0.5
99,0.5
100,0.5
